"Geplande groep";"Geplande groep";"Geplande groep";"Geplande groep";"Geplande groep";"Geroosterde lessen";"Realisatie lessen";"Realisatie lessen";"Realisatie lessen";"Realisatie lessen";"Realisatie lessen";"Realisatie lessen";"Uitval lessen";"Uitval lessen";"Uitval lessen";"Uitval lessen";"Uitval lessen";"Uitval lessen";"Weken (2026)";"Weken (2026)";"Weken (2026)";"Weken (2026)"
"Afdeling";"Pakketgroep";"Vak";"Lesgroep";"Sectie";"Totaal aantal geroosterde lessen";"Gegeven door geplande docent";"Gegeven door vervanger";"Gegeven zonder docent";"Totaal aantal gegeven lessen";"Percentage gegeven door vervanger";"Percentage gegeven zonder docent";"Uitval door te weinig leerlingen";"Uitval door te weinig docenten";"Uitval door gewijzigde planning";"Uitval zonder reden";"Totaal aantal uitgevallen lessen";"Percentage totaal aantal uitgevallen lessen";"35";"36";"37";"38"
"3vp";"ja";"du";"";"";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"3h";"ja";"du";"";"";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"2h";"nee";"du";"2h.2ha";"";"9";"6";"0";"0";"6";"0%";"0%";"0";"0";"3";"0";"3";"33,3%";"";"0";"3";"3"
"2h";"nee";"du";"2h.2hb";"";"9";"7";"0";"0";"7";"0%";"0%";"0";"0";"2";"0";"2";"22,2%";"";"1";"3";"3"
"2h";"nee";"du";"2h.2hc";"";"9";"6";"0";"0";"6";"0%";"0%";"0";"0";"3";"0";"3";"33,3%";"";"0";"3";"3"
"2h";"nee";"du";"2h.2hd";"";"9";"6";"0";"0";"6";"0%";"0%";"0";"0";"3";"0";"3";"33,3%";"";"0";"3";"3"
"2v";"nee";"du";"2v.2vb";"";"9";"0";"0";"0";"0";"0%";"0%";"0";"7";"2";"0";"9";"100%";"";"0";"0";"0"
"2v";"nee";"du";"2v.2vc";"";"9";"7";"0";"0";"7";"0%";"0%";"0";"0";"2";"0";"2";"22,2%";"";"1";"3";"3"
"2v";"nee";"du";"2v.2vd";"";"9";"0";"0";"0";"0";"0%";"0%";"0";"7";"2";"0";"9";"100%";"";"0";"0";"0"
"2v";"nee";"du";"2v.2ve";"";"9";"7";"0";"0";"7";"0%";"0%";"0";"0";"2";"0";"2";"22,2%";"";"1";"3";"3"
"2vp";"nee";"du";"2vp.2va";"";"9";"0";"0";"0";"0";"0%";"0%";"0";"7";"2";"0";"9";"100%";"";"0";"0";"0"
"3h";"nee";"du";"3h.3ha";"";"9";"7";"0";"0";"7";"0%";"0%";"0";"0";"2";"0";"2";"22,2%";"";"1";"3";"3"
"3h";"nee";"du";"3h.3hb";"";"9";"6";"0";"0";"6";"0%";"0%";"0";"0";"3";"0";"3";"33,3%";"";"0";"3";"3"
"3h";"nee";"du";"3h.3hc";"";"9";"7";"0";"0";"7";"0%";"0%";"0";"0";"2";"0";"2";"22,2%";"";"1";"3";"3"
"3v";"nee";"du";"3v.3vc";"";"9";"6";"0";"0";"6";"0%";"0%";"0";"0";"3";"0";"3";"33,3%";"";"0";"3";"3"
"3v";"nee";"du";"3v.3vd";"";"9";"7";"0";"0";"7";"0%";"0%";"0";"0";"2";"0";"2";"22,2%";"";"1";"3";"3"
"3v";"nee";"du";"3v.3ve";"";"9";"7";"0";"0";"7";"0%";"0%";"0";"0";"2";"0";"2";"22,2%";"";"1";"3";"3"
"3vp";"nee";"du";"3vp.3va";"";"9";"6";"0";"0";"6";"0%";"0%";"0";"0";"3";"0";"3";"33,3%";"";"0";"3";"3"
"3vp";"nee";"du";"3vp.3vb";"";"9";"6";"0";"0";"6";"0%";"0%";"0";"0";"3";"0";"3";"33,3%";"";"0";"3";"3"
"4v";"ja";"dutl";"";"dutl";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"4h";"ja";"dutl";"";"dutl";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"5h";"ja";"dutl";"";"dutl";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"5v";"ja";"dutl";"";"dutl";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"6v";"ja";"dutl";"";"dutl";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"4h";"nee";"dutl";"4h.dutl1";"dutl";"9";"7";"0";"0";"7";"0%";"0%";"0";"0";"2";"0";"2";"22,2%";"";"1";"3";"3"
"4v";"nee";"dutl";"4v.dutl1";"dutl";"6";"5";"0";"0";"5";"0%";"0%";"0";"0";"1";"0";"1";"16,7%";"";"1";"2";"2"
"4v";"nee";"dutl";"4v.dutl2";"dutl";"6";"5";"0";"0";"5";"0%";"0%";"0";"0";"1";"0";"1";"16,7%";"";"1";"2";"2"
"4v";"nee";"dutl";"4v.dutl3";"dutl";"6";"5";"0";"0";"5";"0%";"0%";"0";"0";"1";"0";"1";"16,7%";"";"1";"2";"2"
"5h";"nee";"dutl";"5h.dutl1";"dutl";"12";"9";"0";"0";"9";"0%";"0%";"0";"0";"3";"0";"3";"25%";"";"1";"4";"4"
"5v";"nee";"dutl";"5v.dutl1";"dutl";"9";"7";"0";"0";"7";"0%";"0%";"0";"0";"2";"0";"2";"22,2%";"";"1";"3";"3"
"5v";"nee";"dutl";"5v.dutl2";"dutl";"9";"7";"0";"0";"7";"0%";"0%";"0";"0";"2";"0";"2";"22,2%";"";"1";"3";"3"
"5v";"nee";"dutl";"5v.dutl3";"dutl";"9";"7";"0";"0";"7";"0%";"0%";"0";"0";"2";"0";"2";"22,2%";"";"1";"3";"3"
"6v";"nee";"dutl";"6v.dutl1";"dutl";"9";"8";"0";"0";"8";"0%";"0%";"0";"0";"1";"0";"1";"11,1%";"";"2";"3";"3"
"6v";"nee";"dutl";"6v.dutl2";"dutl";"9";"7";"0";"0";"7";"0%";"0%";"0";"0";"2";"0";"2";"22,2%";"";"1";"3";"3"
"6v";"nee";"dutl";"6v.dutl3";"dutl";"9";"7";"0";"0";"7";"0%";"0%";"0";"0";"2";"0";"2";"22,2%";"";"1";"3";"3"
"3v";"ja";"ec";"";"";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"3vp";"ja";"ec";"";"";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"3h";"ja";"ec";"";"";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"3h";"nee";"ec";"3h.3ha";"";"6";"5";"0";"0";"5";"0%";"0%";"0";"0";"1";"0";"1";"16,7%";"";"1";"2";"2"
"3h";"nee";"ec";"3h.3hb";"";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"3h";"nee";"ec";"3h.3hc";"";"6";"5";"0";"0";"5";"0%";"0%";"0";"0";"1";"0";"1";"16,7%";"";"1";"2";"2"
"3v";"nee";"ec";"3v.3vc";"";"6";"5";"0";"0";"5";"0%";"0%";"0";"0";"1";"0";"1";"16,7%";"";"1";"2";"2"
"3v";"nee";"ec";"3v.3vd";"";"6";"5";"0";"0";"5";"0%";"0%";"0";"0";"1";"0";"1";"16,7%";"";"1";"2";"2"
"3v";"nee";"ec";"3v.3ve";"";"6";"5";"0";"0";"5";"0%";"0%";"0";"0";"1";"0";"1";"16,7%";"";"1";"2";"2"
"3vp";"nee";"ec";"3vp.3va";"";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"3vp";"nee";"ec";"3vp.3vb";"";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"4h";"ja";"econ";"";"econ";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"5h";"ja";"econ";"";"econ";"3";"1";"0";"0";"1";"0%";"0%";"0";"1";"1";"0";"2";"66,7%";"";"0";"1";"0"
"4v";"ja";"econ";"";"econ";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"5v";"ja";"econ";"";"econ";"3";"1";"0";"0";"1";"0%";"0%";"0";"1";"1";"0";"2";"66,7%";"";"0";"1";"0"
"6v";"ja";"econ";"";"econ";"3";"1";"0";"0";"1";"0%";"0%";"0";"1";"1";"0";"2";"66,7%";"";"0";"1";"0"
"4h";"nee";"econ";"4h.econ1";"econ";"9";"6";"0";"0";"6";"0%";"0%";"0";"1";"2";"0";"3";"33,3%";"";"1";"3";"2"
"4h";"nee";"econ";"4h.econ2";"econ";"9";"5";"0";"0";"5";"0%";"0%";"0";"2";"2";"0";"4";"44,4%";"";"0";"2";"3"
"4v";"nee";"econ";"4v.econ1";"econ";"6";"3";"0";"0";"3";"0%";"0%";"0";"2";"1";"0";"3";"50%";"";"0";"1";"2"
"4v";"nee";"econ";"4v.econ2";"econ";"6";"4";"0";"0";"4";"0%";"0%";"0";"1";"1";"0";"2";"33,3%";"";"1";"2";"1"
"5h";"nee";"econ";"5h.econ1";"econ";"12";"9";"0";"0";"9";"0%";"0%";"0";"0";"3";"0";"3";"25%";"";"1";"4";"4"
"5h";"nee";"econ";"5h.econ2";"econ";"12";"8";"0";"0";"8";"0%";"0%";"0";"1";"3";"0";"4";"33,3%";"";"1";"4";"3"
"5v";"nee";"econ";"5v.econ1";"econ";"9";"7";"0";"0";"7";"0%";"0%";"0";"0";"2";"0";"2";"22,2%";"";"1";"3";"3"
"5v";"nee";"econ";"5v.econ2";"econ";"9";"6";"0";"0";"6";"0%";"0%";"0";"1";"2";"0";"3";"33,3%";"";"1";"3";"2"
"6v";"nee";"econ";"6v.econ1";"econ";"9";"7";"0";"0";"7";"0%";"0%";"0";"0";"2";"0";"2";"22,2%";"";"1";"3";"3"
"6v";"nee";"econ";"6v.econ2";"econ";"9";"7";"0";"0";"7";"0%";"0%";"0";"0";"2";"0";"2";"22,2%";"";"1";"3";"3"
"3h";"ja";"en";"";"";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"2h";"ja";"en";"";"";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"1vp";"ja";"en";"";"";"6";"2";"0";"0";"2";"0%";"0%";"0";"0";"4";"0";"4";"66,7%";"";"0";"0";"2"
"2v";"ja";"en";"";"";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"2vp";"ja";"en";"";"";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"1h";"ja";"en";"";"";"6";"2";"0";"0";"2";"0%";"0%";"0";"0";"4";"0";"4";"66,7%";"";"0";"0";"2"
"3vp";"ja";"en";"";"";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"1vh";"ja";"en";"";"";"6";"2";"0";"0";"2";"0%";"0%";"0";"0";"4";"0";"4";"66,7%";"";"0";"0";"2"
"1v";"ja";"en";"";"";"6";"2";"0";"0";"2";"0%";"0%";"0";"0";"4";"0";"4";"66,7%";"";"0";"0";"2"
"3v";"ja";"en";"";"";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"1h";"nee";"en";"1h.1ha";"";"9";"6";"0";"0";"6";"0%";"0%";"0";"0";"3";"0";"3";"33,3%";"";"0";"3";"3"
"1v";"nee";"en";"1v.1vb";"";"9";"4";"2";"0";"6";"33,3%";"0%";"0";"0";"3";"0";"3";"33,3%";"";"0";"3";"3"
"1v";"nee";"en";"1v.1vc";"";"9";"6";"0";"0";"6";"0%";"0%";"0";"0";"3";"0";"3";"33,3%";"";"0";"3";"3"
"1v";"nee";"en";"1v.1vd";"";"9";"4";"1";"0";"5";"20%";"0%";"0";"1";"3";"0";"4";"44,4%";"";"0";"3";"2"
"1vh";"nee";"en";"1vh.1ba";"";"9";"6";"0";"0";"6";"0%";"0%";"0";"0";"3";"0";"3";"33,3%";"";"0";"3";"3"
"1vh";"nee";"en";"1vh.1bb";"";"9";"6";"0";"0";"6";"0%";"0%";"0";"0";"3";"0";"3";"33,3%";"";"0";"3";"3"
"1vh";"nee";"en";"1vh.1bc";"";"9";"6";"0";"0";"6";"0%";"0%";"0";"0";"3";"0";"3";"33,3%";"";"0";"3";"3"
"1vp";"nee";"en";"1vp.1va";"";"9";"6";"0";"0";"6";"0%";"0%";"0";"0";"3";"0";"3";"33,3%";"";"0";"3";"3"
"2h";"nee";"en";"2h.2ha";"";"9";"6";"0";"0";"6";"0%";"0%";"0";"1";"2";"0";"3";"33,3%";"";"0";"3";"3"
"2h";"nee";"en";"2h.2hb";"";"9";"6";"0";"0";"6";"0%";"0%";"0";"1";"2";"0";"3";"33,3%";"";"0";"3";"3"
"2h";"nee";"en";"2h.2hc";"";"9";"7";"0";"0";"7";"0%";"0%";"0";"0";"2";"0";"2";"22,2%";"";"1";"3";"3"
"2h";"nee";"en";"2h.2hd";"";"9";"6";"0";"0";"6";"0%";"0%";"0";"0";"3";"0";"3";"33,3%";"";"0";"3";"3"
"2v";"nee";"en";"2v.2vb";"";"9";"5";"0";"0";"5";"0%";"0%";"0";"2";"2";"0";"4";"44,4%";"";"1";"3";"1"
"2v";"nee";"en";"2v.2vc";"";"9";"6";"0";"0";"6";"0%";"0%";"0";"0";"3";"0";"3";"33,3%";"";"0";"3";"3"
"2v";"nee";"en";"2v.2vd";"";"9";"4";"1";"0";"5";"20%";"0%";"0";"1";"3";"0";"4";"44,4%";"";"0";"3";"2"
"2v";"nee";"en";"2v.2ve";"";"9";"5";"0";"0";"5";"0%";"0%";"0";"2";"2";"0";"4";"44,4%";"";"1";"3";"1"
"2vp";"nee";"en";"2vp.2va";"";"9";"6";"0";"0";"6";"0%";"0%";"0";"0";"3";"0";"3";"33,3%";"";"0";"3";"3"
"3h";"nee";"en";"3h.3ha";"";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"3h";"nee";"en";"3h.3hb";"";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"3h";"nee";"en";"3h.3hc";"";"6";"2";"0";"0";"2";"0%";"0%";"0";"2";"2";"0";"4";"66,7%";"";"0";"2";"0"
"3v";"nee";"en";"3v.3vc";"";"6";"2";"0";"0";"2";"0%";"0%";"0";"2";"2";"0";"4";"66,7%";"";"0";"2";"0"
"3v";"nee";"en";"3v.3vd";"";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"3v";"nee";"en";"3v.3ve";"";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"3vp";"nee";"en";"3vp.3va";"";"6";"4";"0";"0";"4";"0%";"0%";"0";"1";"1";"0";"2";"33,3%";"";"1";"2";"1"
"3vp";"nee";"en";"3vp.3vb";"";"6";"5";"0";"0";"5";"0%";"0%";"0";"0";"1";"0";"1";"16,7%";"";"1";"2";"2"
"4h";"ja";"entl";"";"entl";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"4v";"ja";"entl";"";"entl";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"5h";"ja";"entl";"";"entl";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"5v";"ja";"entl";"";"entl";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"6v";"ja";"entl";"";"entl";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"4h";"nee";"entl";"4h.4ha";"entl";"9";"7";"0";"0";"7";"0%";"0%";"0";"0";"2";"0";"2";"22,2%";"";"1";"3";"3"
"4h";"nee";"entl";"4h.4hb";"entl";"9";"7";"0";"0";"7";"0%";"0%";"0";"0";"2";"0";"2";"22,2%";"";"1";"3";"3"
"4h";"nee";"entl";"4h.4hc";"entl";"9";"6";"0";"0";"6";"0%";"0%";"0";"1";"2";"0";"3";"33,3%";"";"0";"3";"3"
"4v";"nee";"entl";"4v.4va";"entl";"9";"7";"0";"0";"7";"0%";"0%";"0";"1";"1";"0";"2";"22,2%";"";"2";"3";"2"
"4v";"nee";"entl";"4v.4vb";"entl";"9";"7";"0";"0";"7";"0%";"0%";"0";"0";"2";"0";"2";"22,2%";"";"1";"3";"3"
"4v";"nee";"entl";"4v.4vc";"entl";"9";"7";"0";"0";"7";"0%";"0%";"0";"0";"2";"0";"2";"22,2%";"";"1";"3";"3"
"4v";"nee";"entl";"4v.4vd";"entl";"9";"7";"0";"0";"7";"0%";"0%";"0";"0";"2";"0";"2";"22,2%";"";"1";"3";"3"
"5h";"nee";"entl";"5h.entl1";"entl";"9";"7";"0";"0";"7";"0%";"0%";"0";"0";"2";"0";"2";"22,2%";"";"1";"3";"3"
"5h";"nee";"entl";"5h.entl2";"entl";"9";"8";"0";"0";"8";"0%";"0%";"0";"0";"1";"0";"1";"11,1%";"";"2";"3";"3"
"5h";"nee";"entl";"5h.entl3";"entl";"9";"7";"0";"0";"7";"0%";"0%";"0";"0";"2";"0";"2";"22,2%";"";"1";"3";"3"
"5h";"nee";"entl";"5h.entl4";"entl";"9";"6";"0";"0";"6";"0%";"0%";"0";"0";"3";"0";"3";"33,3%";"";"0";"3";"3"
"5v";"nee";"entl";"5v.5va";"entl";"9";"8";"0";"0";"8";"0%";"0%";"0";"0";"1";"0";"1";"11,1%";"";"2";"3";"3"
"5v";"nee";"entl";"5v.5vb";"entl";"9";"8";"0";"0";"8";"0%";"0%";"0";"0";"1";"0";"1";"11,1%";"";"2";"3";"3"
"5v";"nee";"entl";"5v.5vc";"entl";"9";"6";"0";"0";"6";"0%";"0%";"0";"0";"3";"0";"3";"33,3%";"";"0";"3";"3"
"5v";"nee";"entl";"5v.5vd";"entl";"9";"7";"0";"0";"7";"0%";"0%";"0";"0";"2";"0";"2";"22,2%";"";"1";"3";"3"
"6v";"nee";"entl";"6v.entl1";"entl";"9";"7";"0";"0";"7";"0%";"0%";"0";"0";"2";"0";"2";"22,2%";"";"1";"3";"3"
"6v";"nee";"entl";"6v.entl2";"entl";"9";"7";"0";"0";"7";"0%";"0%";"0";"0";"2";"0";"2";"22,2%";"";"1";"3";"3"
"6v";"nee";"entl";"6v.entl3";"entl";"9";"7";"0";"0";"7";"0%";"0%";"0";"0";"2";"0";"2";"22,2%";"";"1";"3";"3"
"6v";"nee";"entl";"6v.entl4";"entl";"9";"6";"0";"0";"6";"0%";"0%";"0";"0";"3";"0";"3";"33,3%";"";"0";"3";"3"
"3h";"ja";"fa";"";"";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"1vh";"ja";"fa";"";"";"3";"1";"0";"0";"1";"0%";"0%";"0";"0";"2";"0";"2";"66,7%";"";"0";"0";"1"
"1h";"ja";"fa";"";"";"3";"1";"0";"0";"1";"0%";"0%";"0";"0";"2";"0";"2";"66,7%";"";"0";"0";"1"
"1vp";"ja";"fa";"";"";"3";"1";"0";"0";"1";"0%";"0%";"0";"0";"2";"0";"2";"66,7%";"";"0";"0";"1"
"1v";"ja";"fa";"";"";"3";"1";"0";"0";"1";"0%";"0%";"0";"0";"2";"0";"2";"66,7%";"";"0";"0";"1"
"2v";"ja";"fa";"";"";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"3vp";"ja";"fa";"";"";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"2vp";"ja";"fa";"";"";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"2h";"ja";"fa";"";"";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"3v";"ja";"fa";"";"";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"1h";"nee";"fa";"1h.1ha";"";"9";"6";"0";"0";"6";"0%";"0%";"0";"0";"3";"0";"3";"33,3%";"";"0";"3";"3"
"1v";"nee";"fa";"1v.1vb";"";"9";"4";"1";"0";"5";"20%";"0%";"0";"1";"3";"0";"4";"44,4%";"";"0";"3";"2"
"1v";"nee";"fa";"1v.1vc";"";"9";"5";"0";"0";"5";"0%";"0%";"0";"1";"3";"0";"4";"44,4%";"";"0";"3";"2"
"1v";"nee";"fa";"1v.1vd";"";"9";"5";"1";"0";"6";"16,7%";"0%";"0";"0";"3";"0";"3";"33,3%";"";"0";"3";"3"
"1vh";"nee";"fa";"1vh.1ba";"";"9";"6";"0";"0";"6";"0%";"0%";"0";"0";"3";"0";"3";"33,3%";"";"0";"3";"3"
"1vh";"nee";"fa";"1vh.1bb";"";"9";"6";"0";"0";"6";"0%";"0%";"0";"0";"3";"0";"3";"33,3%";"";"0";"3";"3"
"1vh";"nee";"fa";"1vh.1bc";"";"9";"6";"0";"0";"6";"0%";"0%";"0";"0";"3";"0";"3";"33,3%";"";"0";"3";"3"
"1vp";"nee";"fa";"1vp.1va";"";"9";"6";"0";"0";"6";"0%";"0%";"0";"0";"3";"0";"3";"33,3%";"";"0";"3";"3"
"2h";"nee";"fa";"2h.2ha";"";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"2h";"nee";"fa";"2h.2hb";"";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"2h";"nee";"fa";"2h.2hc";"";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"2h";"nee";"fa";"2h.2hd";"";"6";"5";"0";"0";"5";"0%";"0%";"0";"0";"1";"0";"1";"16,7%";"";"1";"2";"2"
"2v";"nee";"fa";"2v.2vb";"";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"2v";"nee";"fa";"2v.2vc";"";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"2v";"nee";"fa";"2v.2vd";"";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"2v";"nee";"fa";"2v.2ve";"";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"2vp";"nee";"fa";"2vp.2va";"";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"3h";"nee";"fa";"3h.3ha";"";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"3h";"nee";"fa";"3h.3hb";"";"6";"4";"0";"0";"4";"0%";"0%";"0";"1";"1";"0";"2";"33,3%";"";"1";"2";"1"
"3h";"nee";"fa";"3h.3hc";"";"6";"4";"0";"0";"4";"0%";"0%";"0";"1";"1";"0";"2";"33,3%";"";"1";"2";"1"
"3v";"nee";"fa";"3v.3vc";"";"6";"4";"0";"0";"4";"0%";"0%";"0";"1";"1";"0";"2";"33,3%";"";"1";"2";"1"
"3v";"nee";"fa";"3v.3vd";"";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"3v";"nee";"fa";"3v.3ve";"";"6";"5";"0";"0";"5";"0%";"0%";"0";"0";"1";"0";"1";"16,7%";"";"1";"2";"2"
"3vp";"nee";"fa";"3vp.3va";"";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"3vp";"nee";"fa";"3vp.3vb";"";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
"4v";"ja";"fatl";"";"fatl";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"4h";"ja";"fatl";"";"fatl";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"5h";"ja";"fatl";"";"fatl";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"5v";"ja";"fatl";"";"fatl";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"6v";"ja";"fatl";"";"fatl";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"4h";"nee";"fatl";"4h.fatl1";"fatl";"9";"6";"0";"0";"6";"0%";"0%";"0";"1";"2";"0";"3";"33,3%";"";"1";"3";"2"
"4v";"nee";"fatl";"4v.fatl1";"fatl";"6";"6";"0";"0";"6";"0%";"0%";"0";"0";"0";"0";"0";"0%";"";"2";"2";"2"
"4v";"nee";"fatl";"4v.fatl2";"fatl";"6";"5";"0";"0";"5";"0%";"0%";"0";"0";"1";"0";"1";"16,7%";"";"1";"2";"2"
"5h";"nee";"fatl";"5h.fatl1";"fatl";"12";"8";"0";"0";"8";"0%";"0%";"0";"2";"2";"0";"4";"33,3%";"";"2";"4";"2"
"5v";"nee";"fatl";"5v.fatl1";"fatl";"9";"8";"0";"0";"8";"0%";"0%";"0";"0";"1";"0";"1";"11,1%";"";"2";"3";"3"
"6v";"nee";"fatl";"6v.fatl1";"fatl";"9";"8";"0";"0";"8";"0%";"0%";"0";"0";"1";"0";"1";"11,1%";"";"2";"3";"3"
"6v";"nee";"fatl";"6v.fatl2";"fatl";"9";"8";"0";"0";"8";"0%";"0%";"0";"0";"1";"0";"1";"11,1%";"";"2";"3";"3"
"6v";"ja";"ges";"";"ges";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"5h";"ja";"ges";"";"ges";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"4v";"ja";"ges";"";"ges";"3";"1";"0";"0";"1";"0%";"0%";"0";"1";"1";"0";"2";"66,7%";"";"0";"1";"0"
"5v";"ja";"ges";"";"ges";"3";"2";"0";"0";"2";"0%";"0%";"0";"0";"1";"0";"1";"33,3%";"";"0";"1";"1"
"4h";"ja";"ges";"";"ges";"3";"1";"0";"0";"1";"0%";"0%";"0";"1";"1";"0";"2";"66,7%";"";"0";"1";"0"
"4h";"nee";"ges";"4h.ges1";"ges";"9";"8";"0";"0";"8";"0%";"0%";"0";"0";"1";"0";"1";"11,1%";"";"2";"3";"3"
"4h";"nee";"ges";"4h.ges2";"ges";"9";"7";"0";"0";"7";"0%";"0%";"0";"0";"2";"0";"2";"22,2%";"";"1";"3";"3"
"4v";"nee";"ges";"4v.ges1";"ges";"6";"4";"0";"0";"4";"0%";"0%";"0";"0";"2";"0";"2";"33,3%";"";"0";"2";"2"
